"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SOTT1CaseInfo","SOTT1CaseInfo","SOTT1CaseInfo","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1  Case Information","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTT1Clinical","SOTT1Clinical.temperature","SOTT1Clinical.temperature","","","",0,1,"","","","Quantity {[]} {[]}
","Temperature (degrees):","Measured body temperature","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.temperature",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.chills","SOTT1Clinical.chills","","","",0,1,"","","","code {[]} {[]}
","Chills","Subjective or self-reported fever or history of feeling feverish regardless of measured body temperature.","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1Clinical.chills",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.sweat","SOTT1Clinical.sweat","","","",0,1,"","","","code {[]} {[]}
","Profuse sweating","Sweating or Perspiration","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1Clinical.sweat",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.intensePain","SOTT1Clinical.intensePain","","","",0,1,"","","","code {[]} {[]}
","Intense pain","Indicate site(s) of intense pain: headaches (pain anywhere in the region of the head or neck), myalgia (abnormal pain in the muscles), arthralgia (abnormal pain in one or more joints), back pain, chest pain, general pain, other site","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1Clinical.intensePain",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.headache","SOTT1Clinical.headache","","","",0,1,"","","","code {[]} {[]}
","Head pain","Head pain (headache)","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1Clinical.headache",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.musclePain","SOTT1Clinical.musclePain","","","",0,1,"","","","code {[]} {[]}
","Muscular pain","Muscular pain","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1Clinical.musclePain",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.chestPain","SOTT1Clinical.chestPain","","","",0,1,"","","","code {[]} {[]}
","Chest pain","Chest pain","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1Clinical.chestPain",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.abdominalPain","SOTT1Clinical.abdominalPain","","","",0,1,"","","","code {[]} {[]}
","Abdominal pain","Stomach or abdominal pain or cramping, acute or chronic, localized or diffuse pain in the abdominal cavity.","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1Clinical.abdominalPain",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.jointPain","SOTT1Clinical.jointPain","","","",0,1,"","","","code {[]} {[]}
","Joint pain","Joint pain","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1Clinical.jointPain",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.otherSymptoms","SOTT1Clinical.otherSymptoms","","","",0,1,"","","","string {[]} {[]}
","Other, specify","Other symptoms, specify:","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.otherSymptoms",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.bleeding","SOTT1Clinical.bleeding","","","",0,1,"","","","code {[]} {[]}
","Observed abnormal bleeding","If bleeding reported or observed, indicate site of abnormal bleeding: gums, mouth, nose, vomit, stool, urine, vagina, at or from injection sites.","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.bleeding",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.sunkenEyes","SOTT1Clinical.sunkenEyes","","","",0,1,"","","","code {[]} {[]}
","Dehydration (thirst, sunken eyes/skin pinch)","Thrust, sukken eyes, skinfold","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1Clinical.sunkenEyes",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.shock","SOTT1Clinical.shock","","","",0,1,"","","","code {[]} {[]}
","Signs of shock","Septic, haemorrhagic or cardiogenic shock","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1Clinical.shock",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.fatigue","SOTT1Clinical.fatigue","","","",0,1,"","","","code {[]} {[]}
","Intense fatique or weakness","Intense fatigue, an abnormal state of drowsiness (lethargy or feeling lethargic), cannot conduct daily activity, lack of strengh","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1Clinical.fatigue",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.height","SOTT1Clinical.height","","","",0,1,"","","","Quantity {[]} {[]}
","Height","Height (in meters/centimeters or in foot/inches)","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.height",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.weight","SOTT1Clinical.weight","","","",0,1,"","","","Quantity {[]} {[]}
","Weight","Weight measured in kilograms","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.weight",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.otherSignsSymptoms","SOTT1Clinical.otherSignsSymptoms","","","",0,1,"","","","string {[]} {[]}
","Other signs and symptoms, specify","Other signs, specify:","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.otherSignsSymptoms",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.complains","SOTT1Clinical.complains","","","",0,1,"","","","string {[]} {[]}
","Main complains expressed by the patient","List complains","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.complains",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.cardiology","SOTT1Clinical.cardiology","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ClinicalCardiology {[]} {[]}
","Cardiology","Cardiology","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.cardiology",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.respiratory","SOTT1Clinical.respiratory","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ClinicalRespiratory {[]} {[]}
","Respiratory","Respiratory","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.respiratory",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.gastrointestinal","SOTT1Clinical.gastrointestinal","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ClinicalGastroIntestinal {[]} {[]}
","Gastrointestinal","Gastrointestinal","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.gastrointestinal",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.neurology","SOTT1Clinical.neurology","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ClinicalNeurology {[]} {[]}
","Neurology","Neurology","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.neurology",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.cutaneous","SOTT1Clinical.cutaneous","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ClinicalCutaneous {[]} {[]}
","Cutaneous","Cutaneous","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.cutaneous",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.ENT","SOTT1Clinical.ENT","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ClinicalENT {[]} {[]}
","Ear Nose and Throat","Ear Nose and Throat","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.ENT",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.urogynecology","SOTT1Clinical.urogynecology","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1Urogynecology {[]} {[]}
","Urogynecology","Urogynecology","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.urogynecology",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.comorbidity","SOTT1Clinical.comorbidity","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ClinicalComorbidity {[]} {[]}
","Comorbidity or underlying conditions","Comorbidity or underlying conditions","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.comorbidity",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.treatments","SOTT1Clinical.treatments","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ClinicalTreatments {[]} {[]}
","Treatments","Treatments","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.treatments",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.vaccination","SOTT1Clinical.vaccination","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ClinicalVaccination {[]} {[]}
","Vaccination","Vaccination","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.vaccination",0,1,"",""
"SOTMeaslesContactTracing","SOTMeaslesContactTracing","SOTMeaslesContactTracing","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit Measles- Contact Tracing","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTMeaslesContactTracing","SOTMeaslesContactTracing.id","SOTMeaslesContactTracing.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTMeaslesContactTracing","SOTMeaslesContactTracing.extension","SOTMeaslesContactTracing.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTMeaslesContactTracing","SOTMeaslesContactTracing.modifierExtension","SOTMeaslesContactTracing.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
